msoa,mode,time,area_m2,area_deg2
E02000984,CAR,15minutes,103055984.69267067,0.00264568500000002
E02000985,CAR,15minutes,108103591.38082021,0.002777039999999984
E02000986,CAR,15minutes,116178831.97218038,0.002985149999999977
E02000987,CAR,15minutes,204736085.1692512,0.005263679999999984
E02000988,CAR,15minutes,177658744.85363853,0.00456757500000003
E02000989,CAR,15minutes,156609209.48490256,0.004024905000000025
E02000990,CAR,15minutes,166567390.80872002,0.004283905000000082
E02000991,CAR,15minutes,134214689.5514876,0.0034515949999999692
E02000992,CAR,15minutes,196879023.19626787,0.005065340000000053
E02000993,CAR,15minutes,185904604.21911687,0.004779855000000024
E02000994,CAR,15minutes,130820320.06884074,0.003364754999999991
E02000995,CAR,15minutes,182058804.86524582,0.004684055000000005
E02000996,CAR,15minutes,143747695.84615114,0.0036968100000000087
E02000997,CAR,15minutes,175202763.48073146,0.004510855000000002
E02000998,CAR,15minutes,129749247.25716916,0.0033386500000000575
E02000999,CAR,15minutes,126933542.44731599,0.003266739999999988
E02001000,CAR,15minutes,109815086.65982102,0.0028257400000000037
E02001001,CAR,15minutes,151270997.09622425,0.0038925100000000226
E02001002,CAR,15minutes,115887965.47076818,0.0029816649999999953
E02001003,CAR,15minutes,183081770.37062445,0.004714780000000041
E02001004,CAR,15minutes,100409705.36101027,0.0025858600000000097
E02001005,CAR,15minutes,137096245.63286868,0.0035319300000000438
E02001006,CAR,15minutes,120392902.07894872,0.003101845000000016
E02001007,CAR,15minutes,117510512.13118657,0.003025270000000039
E02001008,CAR,15minutes,127272830.8871339,0.0032794049999999852
E02001009,CAR,15minutes,204601597.50859162,0.005273764999999995
E02001010,CAR,15minutes,167705606.0312762,0.004320489999999921
E02001011,CAR,15minutes,216843457.5097924,0.005588885000000079
E02001012,CAR,15minutes,156259751.55698556,0.0040274099999999795
E02001013,CAR,15minutes,204434564.38548252,0.005270435000000025
E02001014,CAR,15minutes,153127348.28396046,0.003949250000000037
E02001015,CAR,15minutes,184322824.35619545,0.004753329999999951
E02001016,CAR,15minutes,145602310.9283011,0.003753290000000033
E02001017,CAR,15minutes,222457355.1002867,0.005738564999999916
E02001018,CAR,15minutes,81109248.80388784,0.0020931749999999368
E02001019,CAR,15minutes,172334464.44911486,0.004417094999999928
E02001020,CAR,15minutes,194462312.44176957,0.004989140000000016
E02001021,CAR,15minutes,210990437.48419172,0.005416390000000036
E02001022,CAR,15minutes,121405209.26018688,0.003116699999999964
E02001023,CAR,15minutes,135598180.7169603,0.0034826050000000093
